stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
013810,스페코,41100000000.0,18.031666666666666,14655470.0,6160,5575,-9.496753246753247,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=013810,6.58
033340,좋은사람들,86600000000.0,-18.285,49908224.0,1055,-3498,-431.563981042654,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033340,-4.38
033200,모아텍,72300000000.0,-1.9466666666666665,14331185.0,7810,-1083,-113.86683738796415,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033200,-85.66
033290,코웰패션,286200000000.0,23.53,88500234.0,7940,8390,5.6675062972292185,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033290,7.88
015710,코콤,122500000000.0,7.550000000000001,17530500.0,6140,5817,-5.260586319218241,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=015710,5.91
033100,제룡전기,58800000000.0,7.508333333333333,16062409.0,4700,3030,-35.53191489361702,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033100,7.55
033050,제이엠아이,36600000000.0,-18.548333333333336,32579342.0,1360,-2297,-268.8970588235294,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033050,15.26
033130,디지틀조선,78600000000.0,3.8800000000000003,37115267.0,3030,906,-70.0990099009901,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033130,17.26
032980,바이온,38700000000.0,-31.75,66900777.0,652,-2025,-410.5828220858895,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032980,288.6
019210,와이지-원,293100000000.0,-4.391666666666667,30573819.0,9710,-4642,-147.8063851699279,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=019210,28.74
026150,특수건설,91300000000.0,1.8100000000000003,17546331.0,10950,1038,-90.52054794520548,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=026150,18.99
031310,아이즈비전,106900000000.0,8.018333333333334,16439898.0,3895,5749,47.599486521181,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=031310,0.45
032960,동일기연,52800000000.0,2.465,3503285.0,13000,4096,-68.49230769230769,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032960,13.94
032680,소프트센,36800000000.0,0.0,37380931.0,2655,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032680,17.23
032940,원익,187200000000.0,29.160000000000007,18193230.0,4395,33081,652.6962457337884,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032940,16.09
008290,원풍물산,33600000000.0,-14.865,40693679.0,852,-1353,-258.80281690140845,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=008290,-7.57
032750,삼진,81500000000.0,10.311666666666666,6000000.0,9190,15443,68.04134929270947,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032750,2.32
032850,비트컴퓨터,54700000000.0,11.343333333333334,16623293.0,8690,4115,-52.64672036823935,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032850,19.01
032860,휴먼엔,3300000000.0,-159.51166666666668,17936367.0,3820,-3236,-184.71204188481676,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032860,-32.96
032790,BNGT,22800000000.0,-49.419999999999995,29534345.0,4075,-4206,-203.21472392638037,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032790,731.32
032800,판타지오,22500000000.0,-25.415000000000003,64680866.0,782,-975,-224.68030690537086,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032800,148.35
032620,유비케어,106500000000.0,6.496666666666666,52197139.0,6890,1461,-78.79535558780842,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032620,18.91
032580,피델릭스,37200000000.0,-6.088333333333334,33132064.0,1690,-754,-144.6153846153846,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032580,-38.53
032540,TJ미디어,76700000000.0,-1.53,13931609.0,7670,-929,-112.11212516297262,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032540,393.47
028080,휴맥스홀딩스,129700000000.0,-15.48,12577506.0,4380,-17600,-501.8264840182648,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=028080,-3.63
032280,삼일,60100000000.0,-0.09333333333333342,16213590.0,2830,-38,-101.34275618374558,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032280,52.78
012340,뉴인텍,27500000000.0,-5.5683333333333325,30044502.0,3500,-562,-116.05714285714286,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012340,31.17
031510,오스템,116100000000.0,-3.536666666666667,28000000.0,2060,-1617,-178.49514563106797,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=031510,5.16
031860,엔에스엔,51000000000.0,-32.13833333333334,67146134.0,1500,-2691,-279.4,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=031860,-14.41
031980,피에스케이홀딩스,197500000000.0,24.753333333333334,21562395.0,15050,24997,66.09302325581396,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=031980,113.73
011560,세보엠이씨,154800000000.0,2.9599999999999995,10530000.0,7130,4798,-32.70687237026648,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=011560,13.0
024740,한일단조,106000000000.0,-0.7716666666666665,29891328.0,3220,-302,-109.37888198757764,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=024740,18.15
030960,양지사,189500000000.0,32.236666666666665,15980000.0,9070,42148,364.696802646086,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=030960,61.33
030530,원익홀딩스,857000000000.0,8.118333333333332,77237981.0,4690,9931,111.74840085287848,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=030530,4.09
030520,한글과컴퓨터,268700000000.0,10.883333333333335,25203830.0,21250,12793,-39.79764705882353,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=030520,4.91
