N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
71,현대건설,"45,550",100,+0.22%,"5,000","576,572","45,000","45,950","44,800","45,450","45,500","26,249","1,121,308","24,206","44,196","111,356",23.26,"50,723","169,709","179,393","91,729","5,490",-1.78,"2,277","1,504",600,-36.14,30.29,1.84,1.26,0.73,"1,134.1"
72,삼성엔지니어링,"25,000",800,+3.31%,"5,000","2,132,690","24,200","25,050","24,100","24,900","24,950","53,112","1,102,375","79,647","491,225","196,000",36.96,"49,000","67,492","47,556","31,738","3,612",5.59,"2,521","1,807",N/A,-14.56,13.84,17.32,5.41,2.52,68.1
73,금호석유,"157,000","3,500",-2.18%,"5,000","52,128","160,000","160,500","157,000","157,500","158,000","8,242","85,604","19,697","10,012","30,296",20.29,"47,564","48,095","50,273","18,780","7,422",-3.06,"5,830","55,913","4,200",103.13,2.81,20.18,12.19,0.91,"1,841.6"
74,메리츠금융지주,"34,200",850,-2.43%,500,"202,794","34,900","34,900","33,800","34,350","34,400","6,944","407,170","7,901","4,401","134,011",8.40,"45,832","284,706","695,644","626,871","13,721",27.58,"9,253","5,309",900,42.58,6.44,16.06,1.41,1.19,"9,535.1"
75,메리츠화재,"37,250",950,-2.49%,500,"231,857","37,750","37,850","36,750","37,300","37,350","8,645","520,569","17,549","7,289","120,625",11.91,"44,872","111,326","253,593","226,762","6,080",10.03,"4,318","4,819","1,280",72.36,7.72,16.91,1.78,1.72,"4,429.9"
76,한국금융지주,"79,200",800,-1.00%,"5,000","44,931","79,900","79,900","78,600","79,200","79,300","3,551","122,791","8,162","6,939","55,726",35.02,"44,135","165,117","704,377","648,054","8,564",53.29,"8,600","29,221","3,000",-9.07,2.71,16.27,1.31,0.65,"1,745.4"
77,한국타이어앤테크놀로지,"34,450",50,-0.14%,500,"90,854","34,250","34,500","34,150","34,350","34,400","3,157","427,891","18,580","7,057","123,875",41.04,"42,613","64,531","106,585","32,464","6,283",-6.25,"3,852","5,332",650,15.50,6.45,5.12,3.70,0.52,"12,331.9"
78,유한양행,"58,100",200,-0.34%,"1,000","84,945","58,100","58,600","57,700","58,200","58,300","4,948","105,885","24,516","24,001","73,231",17.55,"42,547","16,199","23,935","5,470",843,9.42,"1,904","1,319",365,572.12,44.05,11.06,8.44,2.09,"2,653.9"
79,현대중공업지주,"53,600",700,+1.32%,"1,000","93,197","53,200","54,000","52,500","53,500","53,600","4,958","180,689","7,896","23,428","78,993",16.66,"42,340","189,110","265,590","154,611","-5,971",-28.99,"-7,897","-4,314","3,700",-189.58,-12.42,-8.12,-3.02,0.59,"9,094.2"
80,한국가스공사,"45,300","2,750",+6.46%,"5,000","1,319,175","42,200","45,950","42,050","45,500","45,550","58,482","773,666","9,697","56,479","92,313",10.21,"41,818","208,337","359,098","281,746","8,989",-16.61,"-1,607","4,814",0,-32.65,9.41,-2.24,-0.43,0.49,"1,561.9"
81,일진머티리얼즈,"90,100","2,500",-2.70%,500,"129,699","92,200","92,600","90,100","90,300","90,400","11,819","204,029","16,738","5,276","46,111",13.17,"41,546","5,369","10,810","2,274",509,-2.42,427,"1,378",200,8.58,65.38,7.23,4.04,6.23,"2,558.6"
82,DB손해보험,"58,500",400,-0.68%,500,"125,847","58,600","59,300","57,600","58,300","58,400","7,341","127,542","17,289","8,508","70,800",42.95,"41,418","201,106","600,513","535,467","7,310",7.68,"5,611","11,259","2,200",43.65,5.20,9.08,0.97,0.54,"18,705.3"
83,메리츠증권,"5,980",170,-2.76%,"1,000","547,460","6,150","6,160","5,960","5,980","5,990","3,294","2,262,650","131,774","14,991","681,731",12.85,"40,767","166,049","438,470","390,582","8,280",39.39,"5,651",985,320,21.78,6.07,13.08,1.36,0.77,518.2
