N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
66,동국제약,"21,050",750,+3.69%,500,"103,220","20,400","21,100","20,400","20,900","21,050","2,158","38,829","2,952","13,519","44,460",18.35,"9,359","5,591","6,632","2,274",847,15.93,579,972,180,23.55,21.66,14.45,9.59,2.15,"1,729.0"
67,오스코텍,"30,550","1,700",+5.89%,500,"238,177","29,700","30,550","29,400","30,450","30,550","7,229","122,274","7,079","32,014","30,207",6.00,"9,228",435,764,191,16,895.09,-20,-586,0,107.96,-52.13,-8.35,-2.75,27.63,218.9
68,골프존,"147,000",0,0.00%,500,"33,187","148,000","148,700","145,200","146,900","147,000","4,873","33,314",699,"2,506","6,275",20.61,"9,225","2,985","3,673","1,417",516,20.85,375,"12,616","2,500",59.68,11.65,18.03,11.03,3.24,"7,054.8"
69,하나마이크론,"19,150",300,+1.59%,500,"573,867","19,450","19,750","19,000","19,150","19,200","11,128","573,347","39,733","82,119","47,922",5.94,"9,177","5,395","7,648","5,181",510,8.28,36,111,0,12.73,172.52,-11.81,0.49,4.49,752.9
70,씨아이에스,"14,900",500,+3.47%,100,"817,362","14,800","15,000","14,550","14,800","14,900","12,115","621,385","64,771","171,909","61,437",4.27,"9,154","1,181","2,339","1,694",139,17.41,-44,15,0,-9.64,993.33,-7.73,-2.19,12.76,"1,021.7"
71,유바이오로직스,"24,850",850,+3.54%,500,"198,718","24,550","25,450","24,400","24,750","24,850","4,936","218,910","12,823","19,129","36,287",5.76,"9,017",285,"1,560",591,-60,-13.86,-601,-616,0,-160.78,-40.34,-91.23,-48.36,7.58,453.0
72,포스코 ICT,"5,840",170,+3.00%,500,"398,516","5,750","5,980","5,750","5,830","5,840","2,339","182,180","17,256","27,572","152,035",2.48,"8,879","9,642","6,844","3,145",261,-0.58,90,-337,50,-45.77,-17.33,2.36,1.32,2.63,389.5
73,파마리서치,"87,800","2,600",+3.05%,500,"58,972","87,000","88,500","86,000","87,600","87,800","5,150","88,029",997,"8,864","10,112",11.64,"8,878","1,087","3,198",554,334,29.66,325,"4,683",500,75.35,18.75,14.42,11.01,3.05,"5,026.4"
74,NHN한국사이버결제,"24,500",700,+2.94%,500,"196,507","24,250","25,100","24,200","24,450","24,500","4,825","107,888","5,085","11,796","36,016",33.90,"8,824","6,248","3,747","2,206",398,32.97,299,839,20,23.93,29.20,21.35,8.71,5.35,"1,436.9"
75,헬릭스미스,"23,000","1,300",+5.99%,500,"527,282","21,750","23,300","21,750","22,950","23,000","11,985","1,434,044","11,619","29,579","37,689",8.12,"8,669",43,"4,781","1,978",-711,-3.37,-856,"-1,308",0,-70.37,-17.58,-35.12,-20.15,3.51,"1,477.4"
76,한국비엔씨,"16,800","2,000",+13.51%,100,"5,494,443","15,350","16,950","15,200","16,800","16,850","89,205","3,050,596","106,214","218,683","51,532",3.54,"8,657",194,676,306,9,10.02,14,"-3,461",0,-59.42,-4.85,4.41,2.43,24.03,678.9
77,비덴트,"17,050","1,150",+7.23%,500,"4,488,902","17,050","17,500","16,800","17,000","17,050","76,940","1,474,386","190,597","289,679","50,683",7.35,"8,641",107,"4,038",696,-65,-42.64,212,"4,083",0,-254.73,4.18,7.25,5.79,1.40,"1,358.0"
78,웹젠,"23,800",950,+4.16%,500,"316,321","23,450","24,100","23,350","23,750","23,800","7,540","120,539","11,138","21,826","35,311",25.04,"8,404","2,941","5,427","1,080","1,083",67.05,863,"2,683",N/A,109.06,8.87,21.83,18.03,1.47,"2,677.2"
79,이녹스첨단소재,"42,100",850,+2.06%,500,"158,983","42,350","43,550","41,700","42,050","42,100","6,746","178,048","4,046","7,372","19,782",20.99,"8,328","3,363","3,186","1,161",438,-3.74,252,"3,086",7,-5.71,13.64,13.17,7.69,2.90,"4,438.3"
80,아이티엠반도체,"35,950","1,000",+2.86%,500,"35,928","35,300","36,350","35,300","35,750","35,950","1,291","25,003","3,466","8,676","23,133",2.04,"8,316","5,125","6,068","3,487",54,31.06,63,270,200,-78.84,133.15,2.38,1.20,3.10,"2,385.1"
81,에코프로에이치엔,"54,000","1,600",+3.05%,500,"153,249","53,700","57,600","53,100","53,900","54,000","8,402","130,126","7,751","4,232","15,305",9.01,"8,265",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.91,N/A
82,위메이드맥스,"24,700",100,-0.40%,500,"329,834","26,000","26,050","24,550","24,700","24,750","8,265","420,955","16,488","6,443","33,295",0.30,"8,224",379,421,138,-52,24.38,-100,-499,0,52.75,-49.50,-65.69,-28.88,16.80,360.6
83,넥슨지티,"22,900","1,450",+6.76%,500,"3,200,589","22,350","23,000","21,400","22,900","22,950","71,583","4,288,950","50,266","103,675","35,373",0.99,"8,100",278,"1,466",350,31,-7.87,40,610,N/A,110.86,37.54,3.61,2.71,5.90,587.9
84,파크시스템스,"117,100","2,900",+2.54%,500,"28,458","120,000","121,700","115,200","116,300","117,100","3,342","11,460",640,541,"6,901",23.03,"8,080",712,"1,044",513,150,37.04,100,804,180,86.43,145.65,20.43,12.07,13.59,"1,500.1"
85,삼천당제약,"35,250","1,250",+3.68%,500,"103,189","34,600","35,550","34,600","35,250","35,300","3,630","80,993","3,779","8,186","22,768",6.12,"8,026","1,669","3,171",594,55,-10.58,75,-249,N/A,-78.09,-141.57,-0.56,2.47,4.38,"1,555.8"
86,메디톡스,"125,500","3,400",+2.78%,500,"42,080","125,500","127,600","122,200","124,800","125,500","5,265","35,081","1,120","2,348","6,261",8.85,"7,858","1,408","4,678","2,230",-371,-31.60,-300,"13,110",936,-244.30,9.57,-11.82,-6.76,2.00,"10,359.9"
87,서울반도체,"13,450",150,+1.13%,500,"399,090","13,650","13,650","13,350","13,400","13,450","5,373","337,977","64,698","112,653","58,305",5.69,"7,842","11,531","13,302","5,394",597,2.05,290,858,157,20.42,15.68,2.64,2.19,1.03,"2,406.4"
88,SNK,"36,900",50,+0.14%,0,"3,884","36,850","37,000","36,800","36,850","36,900",143,"4,996","14,940","3,013","21,062",96.50,"7,772",700,"2,675",272,-76,-18.58,-111,-200,N/A,-132.55,-184.50,-3.99,-3.56,3.24,130.2
89,메드팩토,"36,150","1,650",+4.78%,500,"173,455","35,250","36,700","35,200","36,000","36,150","6,269","119,971","7,565","5,558","20,875",5.52,"7,546",N/A,585,28,-278,N/A,-254,-850,0,-109.99,-42.53,-37.72,-36.43,14.98,448.0
90,RFHIC,"28,250",550,+1.99%,500,"167,871","28,400","29,050","28,000","28,200","28,250","4,762","120,394","9,852","8,452","26,706",6.57,"7,545",705,"3,123",952,-30,-34.63,16,342,98,-116.71,82.60,1.02,0.55,2.64,"1,590.3"
91,네오이뮨텍(Reg.S),"7,640",240,+3.24%,0,"1,358,478","7,470","7,870","7,430","7,630","7,640","10,375","3,239,028","21,232","38,075","98,742",9.19,"7,544",N/A,963,116,-309,N/A,-300,-526,0,-92.69,-14.52,-29.94,-27.58,4.31,"4,701,199.8"
92,엘앤씨바이오,"33,150",450,+1.38%,500,"123,230","33,200","34,000","32,500","32,900","33,150","4,097","69,076","3,596","8,132","22,685",7.56,"7,520",330,806,193,73,13.11,121,498,50,-18.91,66.57,18.65,16.55,10.13,464.4
93,안랩,"73,800","3,000",+4.24%,500,"1,110,237","73,100","76,000","71,500","73,800","73,900","81,968","499,774","12,146","11,411","10,014",15.87,"7,390","1,782","2,808",635,200,6.70,185,"3,759",900,8.44,19.63,8.80,6.83,2.64,"4,492.2"
94,인트론바이오,"21,450",850,+4.13%,500,"372,047","21,100","21,800","20,950","21,350","21,450","7,965","434,687","9,730","75,860","34,151",9.37,"7,325",454,"1,005",152,157,444.28,149,332,0,460.26,64.61,19.89,15.77,7.30,427.4
95,맘스터치,"7,070",310,+4.59%,100,"552,461","6,710","7,670","6,710","7,070","7,080","3,976","34,037","5,974","1,378","101,818",0.18,"7,198","2,860","1,168",386,263,-0.97,234,144,N/A,38.48,49.10,29.60,18.22,7.78,"1,016.4"
96,우리기술투자,"8,550",390,+4.78%,500,"2,940,717","8,580","8,700","8,420","8,550","8,560","25,214","1,132,472","46,575","105,665","84,000",4.75,"7,182",447,"1,295",169,366,94.80,286,"3,581",N/A,175.35,2.39,30.42,26.91,1.70,175.2
97,다날,"10,400",100,+0.97%,500,"2,343,562","10,700","10,750","10,350","10,400","10,450","24,736","2,259,979","281,451","582,577","68,949",5.02,"7,171","2,294","5,701","3,365",150,20.01,124,586,N/A,37.45,17.75,7.87,2.29,2.20,679.5
98,인텔리안테크,"77,400","1,200",+1.57%,500,"91,254","78,600","80,500","76,700","77,300","77,400","7,157","103,722","4,301","1,755","9,184",5.64,"7,108","1,101","1,528",761,32,-6.67,6,328,95,-54.50,235.98,0.74,0.40,4.37,"2,062.5"
99,아난티,"8,130",980,-10.76%,100,"5,229,094","8,600","8,650","7,990","8,120","8,130","42,875","647,345","182,228","46,690","85,231",6.24,"6,929","1,141","11,437","7,770",-317,-20.07,-448,-167,0,-773.49,-48.68,-10.96,-4.50,2.02,"2,976.6"
